frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
364,12117.3,32,490,398,,,,,,,,,,,,,,,
365,12153.0,31,491,429,,,,,,,,,,,,,,,
366,12184.9,30,492,451,,,,,,,,,,,,,,,
367,12217.0,29,494,462,,,,,,,,,,,,,,,
368,12253.2,29,495,461,,,,,,,,,,,,,,,
369,12284.8,31,495,448,,,,,,,,,,,,,,,
370,12316.8,33,497,422,,,,,,,,,,,,,,,
371,12352.8,34,498,390,,,,,,,,,,,,,,,
372,12384.9,34,498,354,,,,,,,,,,,,,,,
373,12427.2,34,497,319,,,,,,,,,,,,,,,
374,12452.8,33,499,291,,,,,,,,,,,,,,,
375,12484.7,31,501,272,,,,,,,,,,,,,,,
376,12517.0,30,500,264,,,,,,,,,,,,,,,
377,12552.9,30,500,270,,,,,,,,,,,,,,,
378,12587.8,31,499,286,,,,,,,,,,,,,,,
379,12617.3,33,499,309,,,,,,,,,,,,,,,
380,12653.0,33,498,341,,,,,,,,,,,,,,,
381,12685.0,32,500,375,,,,,,,,,,,,,,,
382,12717.0,32,499,408,,,,,,,,,,,,,,,
383,12752.9,31,498,437,,,,,,,,,,,,,,,
384,12784.8,29,498,456,,,,,,,,,,,,,,,
385,12818.1,29,499,463,,,,,,,,,,,,,,,
386,12853.0,30,497,458,,,,,,,,,,,,,,,
387,12884.9,32,497,440,,,,,,,,,,,,,,,
388,12920.8,33,492,411,,,,,,,,,,,,,,,
389,12952.8,34,494,378,,,,,,,,,,,,,,,
390,12984.7,34,493,343,,,,,,,,,,,,,,,
391,13017.0,33,491,310,,,,,,,,,,,,,,,
392,13052.6,32,491,286,,,,,,,,,,,,,,,
393,13084.9,30,490,270,,,,,,,,,,,,,,,
394,13122.2,29,489,267,,,,,,,,,,,,,,,
395,13153.1,30,489,276,,,,,,,,,,,,,,,
396,13185.0,32,488,294,,,,,,,,,,,,,,,
397,13217.1,32,488,322,,,,,,,,,,,,,,,
398,13253.1,32,489,355,,,,,,,,,,,,,,,
399,13284.9,32,487,388,,,,,,,,,,,,,,,
400,13316.7,31,484,419,,,,,,,,,,,,,,,
401,13353.0,30,488,445,,,,,,,,,,,,,,,
402,13388.8,29,488,460,,,,,,,,,,,,,,,
403,13417.5,29,489,463,,,,,,,,,,,,,,,
404,13453.0,30,489,453,,,,,,,,,,,,,,,
405,13485.3,33,491,432,,,,,,,,,,,,,,,
406,13516.8,34,492,401,,,,,,,,,,,,,,,
407,13553.0,33,492,366,,,,,,,,,,,,,,,
408,13584.9,35,492,331,,,,,,,,,,,,,,,
409,13617.2,34,496,300,,,,,,,,,,,,,,,
410,13652.9,32,497,279,,,,,,,,,,,,,,,
411,13685.6,30,498,267,,,,,,,,,,,,,,,
412,13717.4,30,498,267,,,,,,,,,,,,,,,
413,13760.2,31,501,280,,,,,,,,,,,,,,,
414,13784.9,32,502,301,,,,,,,,,,,,,,,
415,13817.2,33,502,331,,,,,,,,,,,,,,,
416,13852.8,32,501,365,,,,,,,,,,,,,,,
417,13885.0,33,503,399,,,,,,,,,,,,,,,
418,13917.6,31,502,429,,,,,,,,,,,,,,,
419,13952.9,30,503,450,,,,,,,,,,,,,,,
420,13984.8,29,503,461,,,,,,,,,,,,,,,
421,14017.1,29,501,460,,,,,,,,,,,,,,,
422,14052.9,31,501,446,,,,,,,,,,,,,,,
423,14086.0,33,499,421,,,,,,,,,,,,,,,
424,14117.1,35,499,388,,,,,,,,,,,,,,,
425,14152.8,35,496,353,,,,,,,,,,,,,,,
426,14185.1,35,496,319,,,,,,,,,,,,,,,
427,14216.9,34,495,291,,,,,,,,,,,,,,,
428,14253.7,31,493,275,,,,,,,,,,,,,,,
429,14284.7,30,492,267,,,,,,,,,,,,,,,
430,14317.0,30,491,272,,,,,,,,,,,,,,,
431,14353.2,31,488,288,,,,,,,,,,,,,,,
432,14385.0,33,488,312,,,,,,,,,,,,,,,
433,14417.1,33,487,344,,,,,,,,,,,,,,,
434,14453.0,33,484,379,,,,,,,,,,,,,,,
435,14487.9,31,485,410,,,,,,,,,,,,,,,
